partitions,time
3,0.2
5,0.2
7,0.2
9,0.2
11,0.1
13,0.2
15,0
17,0.2
19,0.3
21,0.2
23,0.4
25,0.2
27,0.4
29,0.6
31,0.2
33,0.2
35,0.2
37,0.4
39,0.3
41,0.2
43,0.2
45,0.1
47,0.2
49,0.4
51,0.4
53,0.4
55,0.5
57,0
59,0.2
61,0.5
63,0.2
65,0.5
67,0.6
69,0.5
71,0.4
73,0.5
75,0.3
77,0.5
79,0.4
81,0.7
83,0.7
85,0.6
87,0.4
89,0.3
91,0.8
93,0.3
95,0.6
97,0.4
99,0.6
101,0.7
103,0.7
105,0.7
107,0.7
109,0.7
111,0.7
113,0.6
115,0.5
117,0.7
119,0.8
121,0.7
123,0.9
125,0.7
127,0.9
129,0.7
131,0.8
133,0.7
135,0.7
137,0.7
139,1.1
141,0.9
143,0.9
145,1
147,0.9
149,0.8
151,0.8
153,1
155,1
157,0.7
159,0.8
161,0.8
163,1.1
165,0.6
167,1.2
169,1
171,0.9
173,0.8
175,1.2
177,0.9
179,1
181,1.2
183,0.8
185,0.9
187,1.1
189,1.5
191,0.8
193,1
195,1.2
197,1.1
199,1.1
201,1.2
203,1.3
205,1.1
207,1.2
209,1.2
211,1.1
213,1.3
215,0.9
217,1.2
219,1.3
221,1.1
223,1.2
225,1.3
227,1
229,1
231,1.2
233,1.1
235,1.2
237,1.2
239,1.3
241,1.3
243,1.3
245,1.4
247,1.3
249,1.2
251,1.5
253,1.4
255,1.3
257,1.7
259,1.4
261,1.4
263,1.4
265,1.1
267,1.8
269,1.8
271,1.2
273,1.3
275,1.5
277,1.5
279,1.2
281,1.2
283,1.4
285,1.7
287,1.5
289,1.4
291,1.5
293,1.4
295,1.5
297,1.6
299,1.5
301,1.6
303,1.5
305,1.6
307,1.4
309,1.6
311,1.7
313,1.7
315,1.6
317,1.7
319,1.7
321,1.6
323,1.7
325,1.7
327,2.1
329,1.7
331,1.9
333,1.7
335,1.8
337,1.7
339,1.8
341,1.5
343,2
345,1.9
347,1.7
349,1.9
351,1.8
353,2.3
355,2.2
357,1.9
359,1.9
361,1.8
363,2
365,1.7
367,1.7
369,2.1
371,1.9
373,2
375,2
377,2.1
379,1.7
381,2.1
383,2.1
385,2.1
387,1.6
389,2.1
391,2.1
393,2.1
395,2.1
397,1.9
399,2.2
401,2.1
403,2
405,2.1
407,2
409,2.2
411,2.1
413,2.4
415,1.9
417,2.2
419,1.9
421,2
423,2
425,2.2
427,2.3
429,2
431,2.6
433,2.2
435,2
437,2.1
439,2.1
441,2.4
443,2.2
445,2.4
447,1.7
449,2.1
451,2.7
453,2.3
455,3
457,2.5
459,2.3
461,2.5
463,2.2
465,2.3
467,2.5
469,2.4
471,2.2
473,2.3
475,2.4
477,2.3
479,2.4
481,2.5
483,2.4
485,2.5
487,2.5
489,2.4
491,2.5
493,2.6
495,2.8
497,2.5
499,2.6
501,2.5
503,2.5
505,2.6
507,2.6
509,2.4
511,2.6
513,2.4
515,2.8
517,3.2
519,2.3
521,2.6
523,2.3
525,2.5
527,2.6
529,2.6
531,2.6
533,2.7
535,2.7
537,2.6
539,2.7
541,2.5
543,2.7
545,2.9
547,2.7
549,2.6
551,2.7
553,2.8
555,2.9
557,2.9
559,2.9
561,2.7
563,2.8
565,2.7
567,2.7
569,3.2
571,2.9
573,2.8
575,3
577,3
579,3.2
581,2.6
583,3
585,2.8
587,3
589,3
591,2.7
593,3.1
595,2.8
597,2.8
599,3.1
601,3.1
603,3.3
605,3.8
607,3.2
609,3.3
611,3.1
613,3.6
615,3
617,3.3
619,3.3
621,3.4
623,3.1
625,3.2
627,3
629,3.5
631,3.3
633,3.8
635,3.3
637,3
639,3.3
641,3
643,3.5
645,3.9
647,3.5
649,3.8
651,3.1
653,3.5
655,3.4
657,3.2
659,3.4
661,3.2
663,3.4
665,3.3
667,3.6
669,3.1
671,3.6
673,3.6
675,3.5
677,3.2
679,3.5
681,3.4
683,3.6
685,3.1
687,3.5
689,4.2
691,3.4
693,3.3
695,4
697,3.3
699,3.9
701,3.3
703,4.1
705,4.2
707,3.9
709,3.8
711,4.2
713,3.4
715,4.2
717,3.3
719,4.2
721,4.7
723,3.4
725,4
727,4.2
729,3.9
731,4.1
733,3.3
735,3.3
737,3.5
739,3.5
741,3.7
743,3.4
745,3.9
747,4.1
749,4.2
751,3.6
753,3.6
755,3.6
757,3.9
759,3.9
761,4.5
763,4.1
765,3.8
767,3.5
769,4.6
771,3.9
773,4
775,3.7
777,3.9
779,3.7
781,3.6
783,3.7
785,3.5
787,4.3
789,3.6
791,3.8
793,4
795,3.9
797,3.7
799,3.9
801,4
803,4
805,4
807,4
809,3.8
811,3.8
813,3.9
815,4.3
817,4.5
819,4.5
821,4.1
823,3.7
825,3.9
827,4
829,5
831,4.5
833,4.2
835,4.2
837,4.4
839,4
841,4.1
843,4.2
845,4.5
847,4.4
849,4
851,4
853,4
855,4
857,4
859,4
861,4.1
863,4.1
865,4.1
867,4.4
869,3.9
871,4.2
873,4.2
875,4.1
877,4
879,4.4
881,4.3
883,3.9
885,3.9
887,4.1
889,4.3
891,4.2
893,4.6
895,4.3
897,4.4
899,4.5
901,4.4
903,5.5
905,4.2
907,4.3
909,4.5
911,4.6
913,4.5
915,4.4
917,4.4
919,4.9
921,4.5
923,4.2
925,4.6
927,4.3
929,5.7
931,4.5
933,4.1
935,4.6
937,4.6
939,4.4
941,4.6
943,5.3
945,4.6
947,5
949,4.7
951,4.7
953,4.7
955,4.6
957,4.5
959,4.6
961,4.6
963,4.4
965,4.5
967,4.9
969,5
971,4.6
973,4.6
975,4.6
977,4.6
979,4.6
981,5.3
983,4.8
985,4.9
987,5.9
989,5.5
991,4.7
993,4.9
995,4.8
997,4.9
999,5.3
1001,5
